,Latitude,Longitude,Max_surface_temp_F,county
337,42.655,-111.64299999999999,88.0,Caribou County
338,45.152,-116.296,88.0,Adams County
339,44.254,-114.443,106.0,Custer County
340,44.733000000000004,-115.01799999999999,109.0,Valley County
341,43.972,-116.325,68.0,Gem County
342,42.957,-112.458,68.0,Bannock County
343,43.607,-111.189,68.0,Teton County
344,43.677,-116.208,106.0,Ada County
345,43.161,-116.33200000000001,75.0,Ada County
346,42.015,-114.23700000000001,69.0,Cassia County
347,43.5,-115.30799999999999,75.0,Elmore County
348,42.336999999999996,-111.726,95.0,Franklin County
349,43.038000000000004,-114.988,109.0,Gooding County
350,43.816,-115.863,108.0,Boise County
351,44.257,-112.639,84.0,Clark County
352,44.306000000000004,-117.042,72.0,Washington County
353,44.611999999999995,-113.363,75.0,Lemhi County
354,43.021,-111.695,86.0,Caribou County
355,42.056000000000004,-112.24600000000001,81.0,Oneida County
356,43.114,-112.167,90.0,Bingham County
357,42.735,-73.2,75.0,Berkshire County
358,46.106,-112.90299999999999,72.0,Deer Lodge County
359,45.553000000000004,-110.14200000000001,77.0,Sweet Grass County
360,44.70399999999999,-111.89200000000001,82.0,Beaverhead County
361,45.42,-112.69200000000001,77.0,Beaverhead County
362,46.61,-112.555,79.0,Powell County
363,45.032,-110.667,72.0,Park County
364,46.717,-113.32,68.0,Granite County
365,46.718,-113.306,68.0,Granite County
366,45.391999999999996,-112.45200000000001,81.0,Madison County
367,46.355,-111.565,74.0,Broadwater County
368,45.698,-114.382,84.0,Ravalli County
369,45.696999999999996,-114.365,84.0,Ravalli County
370,45.708,-110.976,70.0,Gallatin County
371,47.217,-109.471,68.0,Fergus County
372,45.105,-112.751,75.0,Beaverhead County
373,45.608000000000004,-110.571,82.0,Park County
374,46.333999999999996,-112.88600000000001,79.0,Powell County
375,46.795,-108.883,70.0,Fergus County
376,45.75,-113.93799999999999,100.0,Ravalli County
377,46.607,-112.77600000000001,77.0,Powell County
378,47.451,-114.648,79.0,Sanders County
379,47.876000000000005,-108.656,70.0,Phillips County
380,47.971000000000004,-108.395,73.0,Phillips County
381,47.994,-108.445,79.0,Blaine County
382,45.111000000000004,-112.714,72.0,Beaverhead County
383,45.027,-112.844,68.0,Beaverhead County
384,47.632,-112.855,86.0,Lewis and Clark County
385,46.70399999999999,-113.45200000000001,70.0,Granite County
386,47.33,-114.789,109.0,Sanders County
